,CityName,Data_Value,PopulationCount,GeoLocation,CityFIPS
130736,Southfield,34.3,"71,739","(42.4765016267, -83.2605284738)",2674900.0
131910,Kalamazoo,36.3,"74,262","(42.2748756474, -85.588188576)",2642160.0
133227,Livonia,26.3,"96,942","(42.3971592737, -83.3733073683)",2649000.0
134331,Sterling Heights,31.7,"129,699","(42.580985283, -83.0303680858)",2676460.0
136910,Lansing,35.9,"114,297","(42.7090711751, -84.5584470022)",2646000.0
138080,Farmington Hills,25.1,"79,740","(42.4859956992, -83.3771159714)",2627440.0
138109,Westland,31.1,"84,094","(42.3192220455, -83.3805461719)",2686000.0
139455,Duluth,28.9,"86,265","(46.7854703427, -92.1342013763)",2717000.0
140304,Rochester Hills,23.2,"70,995","(42.6645256768, -83.1563037157)",2669035.0
140485,Wyoming,33.0,"72,125","(42.8909745661, -85.7067229249)",2688940.0
141311,Brooklyn Park,26.2,"75,781","(45.1112033916, -93.3505067942)",2707966.0
141908,Flint,48.2,"102,434","(43.0236339386, -83.6920640313)",2629000.0
145240,St. Paul,28.6,"285,068","(44.9477402558, -93.1039958305)",2758000.0
146149,Kansas City,35.7,"459,787","(39.1239413971, -94.5541236795)",2938000.0
148359,Columbia,31.0,"108,500","(38.9481109651, -92.3260129764)",2915670.0
148485,Gulfport,36.9,"67,793","(30.427377008, -89.0701908439)",2829700.0
153437,Minneapolis,27.5,"382,578","(44.9635407967, -93.2678345304)",2743000.0
154598,Independence,32.0,"116,830","(39.0870794771, -94.3502748237)",2935000.0
156280,Plymouth,22.0,"70,576","(45.022462874, -93.4616016242)",2751730.0
156879,Lee's Summit,27.5,"91,364","(38.9170508128, -94.3814865856)",2941348.0
157068,Rochester,29.7,"106,769","(44.0150574384, -92.4775005494)",2754880.0
157120,St. Joseph,35.2,"76,780","(39.7598312179, -94.8209246813)",2964550.0
158698,Jackson,39.1,"173,514","(32.31627222, -90.2124528561)",2836000.0
161659,Henderson,24.4,"257,729","(36.0122394916, -115.037392161)",3231900.0
163158,St. Louis,36.4,"319,294","(38.6358122615, -90.2451186799)",2965000.0
163588,Lincoln,31.4,"258,379","(40.8096195695, -96.6806742049)",3128000.0
164465,Springfield,33.9,"159,498","(37.1942661484, -93.2914273656)",2970000.0
165782,Missoula,24.6,"66,788","(46.8694402455, -114.009863843)",3050200.0
166886,Omaha,34.0,"408,958","(41.2642309111, -96.0415076441)",3137000.0
173708,Billings,26.4,"104,170","(45.7893102609, -108.54882784)",3006550.0
176982,Trenton,39.0,"84,913","(40.2237289981, -74.7639943311)",3474000.0
178068,North Las Vegas,29.6,"216,961","(36.2891993562, -115.088496088)",3251800.0
178552,Clifton,22.9,"84,136","(40.8631217425, -74.1575145342)",3413690.0
178729,Paterson,33.2,"146,199","(40.9146874977, -74.1624181271)",3457000.0
178857,Passaic,32.1,"69,781","(40.8574581109, -74.1281123174)",3456550.0
181623,Santa Monica,20.1,"89,736","(34.0231891612, -118.481563937)",670000.0
183278,Newark,39.2,"277,140","(40.7260693449, -74.1752997118)",3451000.0
184238,Las Vegas,28.0,"583,756","(36.2274148438, -115.262670095)",3240000.0
186159,Camden,44.7,"77,344","(39.9361910066, -75.1072961899)",3410000.0
187689,Temecula,24.5,"100,097","(33.5029980884, -117.12239028)",678120.0
188543,Jersey City,27.9,"247,597","(40.7188130852, -74.0687740635)",3436000.0
189484,Reno,24.6,"225,221","(39.5540171998, -119.852733516)",3260600.0
189869,Nashua,29.4,"86,494","(42.7491554459, -71.4909587631)",3350260.0
189959,Tracy,28.3,"82,922","(37.7243277375, -121.444621463)",680238.0
190901,Union City,33.9,"66,455","(40.7674606884, -74.032293507)",3474630.0
192065,Sparks,24.4,"90,264","(39.573373276, -119.713134168)",3268400.0
192380,Elizabeth,33.2,"124,969","(40.6664447729, -74.1938679138)",3421000.0
192433,Manchester,31.4,"109,565","(42.9844541713, -71.4445313287)",3345140.0
194127,New Rochelle,25.8,"77,062","(40.9321713141, -73.7843883178)",3650617.0
194883,Visalia,29.2,"124,442","(36.3270623157, -119.325273214)",682954.0
195578,Buffalo,36.3,"261,310","(42.9014518233, -78.8475237264)",3611000.0
195750,Rio Rancho,26.5,"87,521","(35.287307935, -106.697981552)",3563460.0
196589,Las Cruces,28.7,"97,618","(32.326638797, -106.789465579)",3539380.0
198948,Santa Fe,19.8,"67,947","(35.6662719601, -105.972662995)",3570500.0
203866,Albuquerque,27.2,"545,852","(35.1055025771, -106.647447696)",3502000.0
205404,Albany,31.3,"97,856","(42.6663969604, -73.7986826267)",3601000.0
206655,Mount Vernon,31.8,"67,292","(40.9136008569, -73.8291001676)",3649121.0
247420,Lauderhill,34.4,"66,887","(26.1605584187, -80.2241278263)",1239550.0
252225,New York,24.7,"8,175,133","(40.694960689, -73.9313850409)",3651000.0
258907,Pompano Beach,28.8,"99,845","(26.2428335699, -80.131245161)",1258050.0
260617,Syracuse,35.3,"145,170","(43.0409202097, -76.1437679213)",3673000.0
262010,Yonkers,27.4,"195,976","(40.9465025597, -73.8636959965)",3684000.0
262867,Cary,25.1,"135,234","(35.7814978722, -78.8152191642)",3710740.0
264318,Schenectady,33.4,"66,135","(42.8025204414, -73.9275333869)",3665508.0
268526,Asheville,28.1,"83,393","(35.5708251391, -82.5537350816)",3702140.0
276002,Rochester,37.7,"210,565","(43.1679802918, -77.6162348882)",3663000.0
276633,Johns Creek,19.3,"76,728","(34.0332991998, -84.2027195506)",1342425.0
277131,Gastonia,32.9,"71,741","(35.2472984431, -81.1836588468)",3725580.0
277490,Raleigh,31.5,"403,892","(35.8322080933, -78.6440243809)",3755000.0
279129,Durham,32.2,"228,330","(35.9809147402, -78.9059161097)",3719000.0
282262,Wilmington,31.8,"106,476","(34.2102758569, -77.8872842368)",3774440.0
284381,Greensboro,34.0,"269,666","(36.0960480415, -79.8276833061)",3728000.0
284540,Fayetteville,35.6,"200,564","(35.0851309527, -78.9791676456)",3722920.0
285042,Charlotte,32.4,"731,424","(35.2078721969, -80.8300754645)",3712000.0
287221,Concord,31.3,"79,066","(35.3939316958, -80.6352429349)",3714100.0
287999,Jacksonville,35.0,"70,145","(34.7331103037, -77.3951822819)",3734200.0
290118,Greenville,36.4,"84,554","(35.5959211876, -77.3766133673)",3728080.0
291889,High Point,33.6,"104,371","(35.9881243803, -79.9932956384)",3731400.0
294823,Canton,42.8,"73,007","(40.8080192662, -81.3676594998)",3912000.0
297867,Fargo,31.8,"105,549","(46.8652457832, -96.8289882328)",3825700.0
301955,Akron,38.2,"199,110","(41.0801444942, -81.5219213688)",3901000.0
305185,Winston-Salem,34.4,"229,617","(36.1029453039, -80.2609889241)",3775000.0
305501,Cincinnati,37.8,"296,943","(39.1411747124, -84.5060004524)",3915000.0
306079,Cleveland,41.2,"396,815","(41.4765345821, -81.6805494865)",3916000.0
310933,Parma,29.3,"81,601","(41.3842399838, -81.728599153)",3961000.0
311769,Norman,34.2,"110,925","(35.2335032647, -97.3470413838)",4052500.0
313761,Lawton,39.1,"96,867","(34.6170564899, -98.4203934803)",4041850.0
314140,Youngstown,46.1,"66,982","(41.0993286607, -80.6463187081)",3988000.0
314757,Toledo,43.8,"287,208","(41.6637399604, -83.5823818449)",3977000.0
319343,Columbus,35.7,"787,033","(39.9859500484, -82.9851738516)",3918000.0
321153,Edmond,28.7,"81,405","(35.6689350516, -97.4159205309)",4023200.0
321447,Broken Arrow,32.1,"98,850","(36.0366324911, -95.7809572414)",4009050.0
322839,Dayton,42.8,"141,527","(39.779768039, -84.1997930517)",3921000.0
326071,Bloomington,30.2,"80,405","(39.1637458221, -86.5257124351)",1805860.0
326482,Eugene,28.5,"156,185","(44.0559363346, -123.117327584)",4123850.0
330533,Beaverton,27.7,"89,803","(45.4795765674, -122.814973469)",4105350.0
331795,Medford,27.7,"74,907","(42.3371987584, -122.853625909)",4147000.0
334468,Portland,25.1,"583,776","(45.537180654, -122.650032751)",4159000.0
337432,Oklahoma City,34.4,"579,999","(35.467564288, -97.5137615524)",4055000.0
337863,Tulsa,36.6,"391,906","(36.1284213425, -95.9036195464)",4075000.0
338325,Salem,31.5,"154,637","(44.923273154, -123.0248671)",4164900.0
338904,Gresham,28.0,"105,594","(45.5024256798, -122.441469029)",4131250.0
339803,Hillsboro,28.3,"91,611","(45.529027994, -122.937442209)",4134100.0
341588,Bend,26.4,"76,639","(44.0561827184, -121.308690416)",4105800.0
346089,Erie,37.1,"101,786","(42.1164698754, -80.0730358517)",4224000.0
346901,Bethlehem,34.8,"74,982","(40.6266402578, -75.3679048175)",4206088.0
348623,Pittsburgh,31.9,"305,704","(40.4396297486, -79.9762614995)",4261000.0
354065,Philadelphia,34.1,"1,526,006","(40.0093147808, -75.1333888571)",4260000.0
356947,Allentown,39.8,"118,032","(40.596099618, -75.4755373968)",4202000.0
359669,North Charleston,37.4,"97,471","(32.9100915071, -80.0738525014)",4550875.0
360409,Mount Pleasant,25.1,"67,843","(32.8538274584, -79.8230343029)",4548535.0
363264,Reading,43.8,"88,082","(40.3399678686, -75.9266128837)",4263624.0
363369,Knoxville,34.0,"178,874","(35.9690594531, -83.9495877264)",4740000.0
363572,Cranston,29.5,"80,387","(41.7658017135, -71.4861485002)",4419180.0
363633,Sioux Falls,31.7,"153,888","(43.5388067537, -96.7313495858)",4659020.0
363793,Providence,35.6,"178,042","(41.823480533, -71.4218129335)",4459000.0
364895,Warwick,30.7,"82,672","(41.7064727301, -71.4345615049)",4474300.0
366125,Charleston,30.2,"120,083","(32.8136961892, -79.967381899)",4513330.0
368330,Rock Hill,35.4,"66,154","(34.9403611496, -81.0249178286)",4561405.0
368888,Pawtucket,34.3,"71,148","(41.8744534517, -71.3743580803)",4454640.0
369848,Rapid City,34.9,"67,956","(44.0705009564, -103.218361421)",4652980.0
370628,Columbia,36.4,"129,272","(34.0366069566, -80.9037852694)",4516000.0
372400,Scranton,36.2,"76,089","(41.4043729362, -75.6649126898)",4269000.0
372480,Chattanooga,33.9,"167,674","(35.0662472165, -85.2466771892)",4714000.0
374455,Clarksville,34.0,"132,929","(36.569683159, -87.3432371614)",4715160.0
375440,Abilene,34.8,"117,063","(32.4546510898, -99.7383043723)",4801000.0
381742,Murfreesboro,34.9,"108,755","(35.850778195, -86.408628238)",4751560.0
383211,Allen,27.2,"84,246","(33.1087043234, -96.6735373763)",4801924.0
383550,Nashville,31.7,"601,222","(36.1712229904, -86.7845944773)",4752006.0
385356,Grand Rapids,35.0,"188,040","(42.9614815414, -85.6556858473)",2634000.0
385424,O'Fallon,28.7,"79,329","(38.7852244161, -90.7176856736)",2954074.0
386015,Tyler,36.4,"96,900","(32.3154021183, -95.3050093799)",4874144.0
386045,West Valley City,29.7,"129,480","(40.6887696962, -112.011667394)",4983470.0
386808,Montgomery,39.0,"205,764","(32.3472645333, -86.2677059552)",151000.0
389344,Mobile,38.2,"195,111","(30.6776248648, -88.1184482714)",150000.0
396087,Chandler,25.9,"236,123","(33.28318981, -111.852210033)",412000.0
396330,Tuscaloosa,41.1,"90,468","(33.2336083951, -87.5268004073)",177256.0
397066,Gilbert,25.0,"208,453","(33.310149392, -111.746237467)",427400.0
399728,Birmingham,42.0,"212,237","(33.5275663773, -86.7988174678)",107000.0
401229,Anchorage,34.1,"291,826","(61.149868731, -149.111113424)",203000.0
402137,Hoover,28.4,"81,619","(33.3767602729, -86.8051937568)",135896.0
402166,Huntsville,36.2,"180,105","(34.6989692671, -86.6387042882)",137000.0
404246,Glendale,31.0,"226,721","(33.5796123089, -112.225306421)",427820.0
407084,Phoenix,31.0,"1,445,632","(33.5724138695, -112.088995222)",455000.0
407666,Mesa,29.7,"439,041","(33.4022837359, -111.718721181)",446000.0
409591,Peoria,27.1,"154,065","(33.7847206422, -112.298680584)",454050.0
419938,Fort Smith,33.9,"86,209","(35.3491692636, -94.3696317306)",524550.0
420765,Jonesboro,34.7,"67,263","(35.8208121538, -90.6794991686)",535710.0
421305,Alameda,19.7,"73,812","(37.7650849031, -122.266489842)",600562.0
421543,Tempe,28.6,"161,719","(33.3882640307, -111.931802302)",473000.0
422284,Fayetteville,30.9,"73,580","(36.0712117312, -94.1659600436)",523290.0
423503,Tucson,29.7,"520,116","(32.1567244483, -110.877085494)",477000.0
423982,Little Rock,34.2,"193,524","(34.7253957894, -92.3583751863)",541000.0
424266,Surprise,27.7,"117,517","(33.6803835177, -112.452218439)",471510.0
424558,Anaheim,23.0,"336,265","(33.8389076996, -117.857613481)",602000.0
425003,Scottsdale,24.5,"217,385","(33.6872493651, -111.865085877)",465000.0
429397,Alhambra,17.8,"83,089","(34.0839734383, -118.135514119)",600884.0
431263,Antioch,27.5,"102,372","(37.9777042922, -121.796606971)",602252.0
431625,Springdale,33.2,"69,797","(36.1869932598, -94.1536274531)",566080.0
432546,Yuma,37.4,"93,064","(32.5986027117, -114.54836837)",485540.0
436115,Bakersfield,29.5,"347,483","(35.3513302855, -119.029786003)",603526.0
437474,Hemet,31.4,"78,657","(33.7352277311, -116.994605005)",633182.0
437716,Daly City,17.2,"101,123","(37.6861552276, -122.468298024)",617918.0
439031,Clovis,26.3,"95,631","(36.8289400179, -119.68665285)",614218.0
439569,Chino,28.2,"77,983","(33.983588126, -117.665296584)",613210.0
440101,Apple Valley,31.1,"69,135","(34.5315984948, -117.211012664)",602364.0
440675,Bellflower,25.9,"76,616","(33.8880417923, -118.127100236)",604982.0
440977,Burbank,21.8,"103,340","(34.1879799605, -118.323429032)",608954.0
441405,Berkeley,22.6,"112,580","(37.8725678765, -122.274907975)",606000.0
441531,Baldwin Park,25.6,"75,390","(34.082871519, -117.972100918)",603666.0
445740,Buena Park,20.9,"80,530","(33.8572126844, -118.004517591)",608786.0
446169,Chico,27.5,"86,187","(39.7568503668, -121.815983972)",613014.0
446804,Corona,26.8,"152,374","(33.8623571787, -117.564224471)",616350.0
447714,Chula Vista,24.1,"243,916","(32.6282964262, -117.010042407)",613392.0
448476,Chino Hills,21.7,"74,799","(33.950774546, -117.725326968)",613214.0
449067,Compton,33.6,"96,455","(33.892965693, -118.227506568)",615044.0
449226,Carlsbad,19.9,"105,328","(33.1248051026, -117.282903303)",611194.0
450265,Carson,23.4,"91,714","(33.8374083001, -118.255936422)",611530.0
450586,Concord,24.5,"122,067","(37.9721810307, -122.001588036)",616000.0
451188,Citrus Heights,30.7,"83,301","(38.6947788342, -121.287991502)",613588.0
451906,Costa Mesa,22.3,"109,960","(33.6667651353, -117.91350475)",616532.0
452117,Hawthorne,28.7,"84,293","(33.914667701, -118.347667728)",632548.0
453745,Garden Grove,19.9,"170,883","(33.7786940635, -117.960111162)",629000.0
454227,Elk Grove,25.8,"153,015","(38.4159992006, -121.384137762)",622020.0
454624,Fontana,31.0,"196,069","(34.0974227833, -117.459241285)",624680.0
455586,Hayward,24.5,"144,186","(37.6329591551, -122.077051051)",633000.0
456073,El Cajon,27.3,"99,478","(32.8016581921, -116.960483614)",621712.0
456253,Downey,25.1,"111,772","(33.937867256, -118.131150116)",619766.0
456397,Fairfield,28.0,"105,321","(38.2558446343, -122.039303253)",623182.0
458481,Fresno,31.2,"494,665","(36.7826786711, -119.794126569)",627000.0
458662,El Monte,25.2,"113,475","(34.073919653, -118.029071951)",622230.0
459130,Fremont,16.5,"214,089","(37.5278685405, -121.984121512)",626000.0
459740,Escondido,25.8,"143,911","(33.1346952955, -117.072122618)",622804.0
460486,Folsom,25.4,"72,203","(38.6750494328, -121.147605753)",624638.0
461524,Fullerton,20.5,"135,161","(33.8840378013, -117.927850895)",628000.0
468268,Glendale,22.0,"191,719","(34.181889373, -118.24676666)",630000.0
468596,Long Beach,25.2,"462,257","(33.8060144825, -118.160894146)",643000.0
472446,Hesperia,33.0,"90,173","(34.3973476773, -117.314392219)",633434.0
473963,Lake Forest,19.6,"77,264","(33.6634128948, -117.670683341)",639496.0
474664,Indio,31.0,"76,036","(33.7298067837, -116.237258141)",636448.0
476632,Lakewood,21.8,"80,048","(33.8470531941, -118.122204765)",639892.0
482019,Huntington Beach,20.0,"189,992","(33.6952749077, -118.001810806)",636000.0
483981,Inglewood,31.9,"109,673","(33.9565748018, -118.344444926)",636546.0
484513,Irvine,16.1,"212,375","(33.6780108904, -117.773633283)",636770.0
484897,Livermore,22.4,"80,968","(37.6865101361, -121.764357841)",641992.0
487954,Redlands,27.3,"68,747","(34.0511315317, -117.170935294)",659962.0
490268,Redondo Beach,18.9,"66,748","(33.8575280159, -118.376567893)",660018.0
501514,Newport Beach,18.1,"85,186","(33.6150103607, -117.867364631)",651182.0
501640,Manteca,30.6,"67,096","(37.7961925102, -121.231230612)",645484.0
501796,Milpitas,15.3,"66,790","(37.433869763, -121.892083025)",647766.0
502181,Napa,26.4,"76,915","(38.2980424649, -122.301093331)",650258.0
503257,Murrieta,25.3,"103,466","(33.5719743356, -117.190921143)",650076.0
505263,Los Angeles,25.6,"3,792,621","(34.1182277898, -118.408500088)",644000.0
506607,Mission Viejo,19.1,"93,305","(33.6095976891, -117.655029608)",648256.0
508071,Norwalk,25.3,"105,549","(33.9068808228, -118.082915204)",652526.0
510471,Mountain View,18.5,"74,066","(37.3999252379, -122.079544343)",649670.0
511340,Modesto,26.1,"201,165","(37.6615478221, -120.988548061)",648354.0
513636,Moreno Valley,31.0,"193,365","(33.9244314112, -117.204501895)",649270.0
514743,Menifee,27.3,"77,519","(33.6909533045, -117.18487699)",646842.0
515148,Merced,30.9,"78,958","(37.3055863217, -120.477710571)",646898.0
515627,Lynwood,31.8,"69,772","(33.9239616867, -118.201648375)",644574.0
517779,Redding,27.3,"89,861","(40.5697591271, -122.365026322)",659920.0
518310,Pleasanton,18.7,"70,285","(37.6656092171, -121.880775002)",657792.0
518949,Perris,33.0,"68,386","(33.7897346094, -117.223291831)",656700.0
521002,Pomona,27.7,"149,058","(34.0585026366, -117.762551658)",658072.0
521677,Rancho Cucamonga,26.5,"165,269","(34.1245895555, -117.56617587)",659451.0
521696,Pasadena,22.5,"137,122","(34.1597634806, -118.138921644)",656000.0
521787,Oceanside,24.3,"167,086","(33.2247457474, -117.308200285)",653322.0
522257,Orange,21.6,"136,416","(33.8046419567, -117.8231855)",653980.0
523989,Redwood City,22.9,"76,815","(37.5009145276, -122.224767617)",660102.0
524738,Oakland,26.7,"390,724","(37.790878035, -122.214859257)",653000.0
530973,Ontario,31.4,"163,924","(34.0392649464, -117.606427103)",653896.0
531071,Palmdale,28.4,"152,750","(34.5944899803, -118.105772328)",655156.0
531381,Rialto,33.7,"99,171","(34.1128158089, -117.388535978)",660466.0
532718,Oxnard,26.6,"197,899","(34.1959237731, -119.18187657)",654652.0
533928,Richmond,28.9,"103,701","(37.9479710365, -122.336803759)",660620.0
536156,Riverside,28.9,"303,871","(33.9381251685, -117.394845824)",662000.0
536943,San Diego,22.4,"1,307,402","(32.8355639418, -117.119792061)",666000.0
538498,Sacramento,30.7,"466,488","(38.5666321567, -121.468299801)",664000.0
541289,San Bernardino,36.0,"209,924","(34.1392322844, -117.295272732)",665000.0
546936,San Buenaventura (Ventura),23.0,"106,433","(34.2743610206, -119.231436551)",665042.0
549336,Salinas,27.6,"150,441","(36.6889174321, -121.631811961)",664224.0
549388,Roseville,21.6,"118,788","(38.7657516182, -121.302847708)",662938.0
549637,San Leandro,22.8,"84,950","(37.7074299262, -122.159061655)",668084.0
551837,San Mateo,21.1,"97,207","(37.5518226893, -122.312390346)",668252.0
554404,San Francisco,17.9,"805,235","(37.7559136611, -122.440987876)",667000.0
559424,San Ramon,17.5,"72,148","(37.7623705462, -121.938150371)",668378.0
562688,San Jose,20.1,"945,942","(37.3003963176, -121.847228423)",668000.0
563312,San Marcos,23.2,"83,781","(33.134965986, -117.174363098)",668196.0
566140,Vacaville,28.0,"92,428","(38.3597235063, -121.96903046)",681554.0
566547,Santa Clara,17.9,"116,468","(37.3646197504, -121.967932117)",669084.0
566934,Santa Ana,26.3,"324,528","(33.7366948419, -117.881890237)",669000.0
567117,Union City,18.3,"69,516","(37.6028390812, -122.018966106)",681204.0
568215,Santa Rosa,25.6,"167,815","(38.4464423102, -122.706005935)",670098.0
571578,Torrance,17.5,"145,438","(33.8345985464, -118.341641983)",680000.0
573066,Santa Maria,31.9,"99,553","(34.9333735757, -120.443326954)",669196.0
573825,South Gate,29.8,"94,396","(33.9447322664, -118.192550525)",673080.0
574248,Turlock,25.3,"68,549","(37.5052158271, -120.858762412)",680812.0
574711,Upland,27.7,"73,732","(34.1178445701, -117.660290062)",681344.0
575357,Sunnyvale,16.9,"140,081","(37.3834416566, -122.025624324)",677000.0
577028,Simi Valley,21.2,"124,237","(34.2662462857, -118.748980462)",672016.0
578681,Thousand Oaks,20.0,"126,683","(34.1917745655, -118.874888411)",678582.0
580763,Stockton,31.7,"291,707","(37.9766322679, -121.311121669)",675000.0
580814,Tustin,20.3,"75,540","(33.7308520326, -117.810730968)",680854.0
581352,Santa Barbara,26.5,"88,410","(34.4285733874, -119.720187334)",669070.0
581636,Santa Clarita,22.1,"176,320","(34.4119039185, -118.503504698)",669088.0
583848,Westminster,18.5,"89,701","(33.7521523769, -117.993760054)",684550.0
584456,Vallejo,27.7,"115,942","(38.1135329247, -122.235518478)",681666.0
584522,Victorville,33.8,"115,903","(34.5277691103, -117.353855136)",682590.0
587522,Aurora,26.8,"325,078","(39.7091594781, -104.726526621)",804000.0
588143,Centennial,20.6,"100,377","(39.592872073, -104.867986891)",812815.0
589691,West Covina,21.4,"106,098","(34.0554415174, -117.91128206)",684200.0
